Osa01g00001,Zma3g0911,,,
Osa01g00002,Zma3g0909,,,
Osa01g00003,.,,,
Osa01g00004,.,,,
Osa01g00005,.,Zma8g0183,,
Osa01g00006,.,.,,
Osa01g00007,.,Zma8g0187,,
Osa01g00008,.,Zma8g0188,,
Osa01g00009,.,Zma8g0189,,
Osa01g00010,.,.,,
Osa01g00011,.,.,,
Osa01g00012,Zma3g0904,.,,
Osa01g00013,Zma3g0900,.,,
Osa01g00014,.,.,,
Osa01g00015,.,.,,
Osa01g00016,Zma3g0898,Zma8g0190,,
Osa01g00017,Zma3g0894,Zma8g0191,,
Osa01g00018,Zma3g0892,Zma8g0192,,
Osa01g00019,Zma3g0890,.,,
Osa01g00020,Zma3g0888,.,,
Osa01g00021,.,.,,
Osa01g00022,.,Zma8g0193,,
Osa01g00023,.,.,,
Osa01g00024,Zma3g0887,.,,
Osa01g00025,.,.,,
Osa01g00026,.,.,,
Osa01g00027,Zma3g0886,.,,
Osa01g00028,Zma3g0884,.,,
Osa01g00029,Zma3g0883,.,,
Osa01g00030,Zma3g0882,.,,
Osa01g00031,Zma3g0879,Zma8g0194,,
Osa01g00032,Zma3g0878,.,,
Osa01g00033,.,.,,
Osa01g00034,.,Zma8g0199,,
Osa01g00035,Zma3g0877,.,,
Osa01g00036,.,.,,
Osa01g00037,Zma3g0875,.,,
Osa01g00038,.,Zma8g0200,,
Osa01g00039,.,.,,
Osa01g00040,Zma3g0873,.,,
Osa01g00041,Zma3g0872,Zma8g0201,,
Osa01g00042,.,.,,
Osa01g00043,.,.,,
Osa01g00044,.,.,,
Osa01g00045,.,.,,
Osa01g00046,Zma3g0870,.,,
Osa01g00047,.,.,,
Osa01g00048,.,.,,
Osa01g00049,.,.,,
Osa01g00050,.,.,,
Osa01g00051,Zma3g0869,Zma8g0203,,
Osa01g00052,Zma3g0868,Zma8g0204,,
Osa01g00053,Zma3g0866,Zma8g0205,,
Osa01g00054,Zma3g0863,Zma8g0206,,
Osa01g00055,Zma3g0862,.,,
Osa01g00056,Zma3g0861,.,,
Osa01g00057,.,.,,
Osa01g00058,.,.,,
Osa01g00059,.,.,,
Osa01g00060,Zma3g0856,.,,
Osa01g00061,Zma3g0853,Zma8g0233,,
Osa01g00062,Zma3g0850,Zma8g0232,,
Osa01g00063,Zma3g0848,.,,
Osa01g00064,.,.,,
Osa01g00065,Zma3g0847,.,,
Osa01g00066,.,.,,
Osa01g00067,Zma3g0846,.,,
Osa01g00068,.,Zma8g0229,,
Osa01g00069,Zma3g0844,Zma8g0224,,
Osa01g00070,Zma3g0843,.,,
Osa01g00071,.,.,,
Osa01g00072,.,.,,
Osa01g00073,Zma3g0840,.,,
Osa01g00074,Zma3g0839,.,,
Osa01g00075,.,.,,
Osa01g00076,Zma3g0838,.,,
Osa01g00077,.,.,,
Osa01g00078,Zma3g0837,Zma8g0222,,
Osa01g00079,.,.,,
Osa01g00080,.,.,,
Osa01g00081,.,.,,
Osa01g00082,.,.,,
Osa01g00083,Zma3g0821,Zma8g0234,,
Osa01g00084,Zma3g0823,Zma8g0235,,
Osa01g00085,.,.,,
Osa01g00086,.,.,,
Osa01g00087,Zma3g0825,.,,
Osa01g00088,.,.,,
Osa01g00089,.,Zma8g0237,,
Osa01g00090,Zma3g0827,Zma8g0238,,
Osa01g00091,Zma3g0828,.,,
Osa01g00092,Zma3g0829,.,,
Osa01g00093,.,.,,
Osa01g00094,.,Zma8g0243,,
Osa01g00095,Zma3g0835,.,,
Osa01g00096,.,Zma8g0244,,
Osa01g00097,.,Zma8g0245,,
Osa01g00098,Zma3g0814,Zma8g0246,,
Osa01g00099,.,Zma8g0247,,
Osa01g00100,.,.,,
Osa01g00101,.,.,,
Osa01g00102,.,.,,
Osa01g00103,Zma3g0810,Zma8g0252,,
Osa01g00104,.,.,,
Osa01g00105,Zma3g0807,.,,
Osa01g00106,Zma3g0806,Zma8g0253,,
Osa01g00107,.,.,,
Osa01g00108,.,.,,
Osa01g00109,.,.,,
Osa01g00110,.,.,,
Osa01g00111,.,Zma8g0261,,
Osa01g00112,Zma3g0800,.,,
Osa01g00113,,.,,
Osa01g00114,,Zma8g0275,,
Osa01g00115,,.,,
Osa01g00116,,Zma8g0260,,
Osa01g00117,,Zma8g0261,,
Osa01g00118,,Zma8g0259,,
Osa01g00119,,Zma8g0257,,
Osa01g00120,,Zma8g0260,,
Osa01g00121,,Zma8g0255,,
Osa01g00122,,Zma8g0259,,
Osa01g00123,,.,,
Osa01g00124,,Zma8g0257,,
Osa01g00125,,.,,
Osa01g00126,,.,,
Osa01g00127,,.,,
Osa01g00128,,.,,
Osa01g00129,,.,,
Osa01g00130,,Zma8g0256,,
Osa01g00131,,Zma8g0255,,
Osa01g00132,,.,,
Osa01g00133,,Zma8g0260,,
Osa01g00134,,Zma8g0259,,
Osa01g00135,,.,,
Osa01g00136,,.,,
Osa01g00137,,Zma8g0260,,
Osa01g00138,,Zma8g0265,,
Osa01g00139,,Zma8g0267,,
Osa01g00140,,Zma8g0261,,
Osa01g00141,,.,,
Osa01g00142,,Zma8g0257,,
Osa01g00143,,Zma8g0276,,
Osa01g00144,,Zma8g0262,,
Osa01g00145,,Zma8g0269,,
Osa01g00146,,Zma8g0264,,
Osa01g00147,,Zma8g0276,,
Osa01g00148,Zma3g0800,Zma8g0275,,
Osa01g00149,.,Zma8g0265,,
Osa01g00150,.,Zma8g0264,,
Osa01g00151,.,Zma8g0261,,
Osa01g00152,.,.,,
Osa01g00153,.,.,,
Osa01g00154,Zma3g0798,.,,
Osa01g00155,.,Zma8g0277,,
Osa01g00156,Zma3g0796,.,,
Osa01g00157,Zma3g0795,Zma8g0278,,
Osa01g00158,Zma3g0794,.,,
Osa01g00159,Zma3g0792,.,,
Osa01g00160,Zma3g0790,Zma8g0281,,
Osa01g00161,Zma3g0789,Zma8g0282,,
Osa01g00162,Zma3g0783,Zma8g0283,,
Osa01g00163,.,.,,
Osa01g00164,.,.,,
Osa01g00165,.,.,,
Osa01g00166,.,.,,
Osa01g00167,.,.,,
Osa01g00168,.,Zma8g0286,,
Osa01g00169,.,.,,
Osa01g00170,.,Zma8g0287,,
Osa01g00171,.,Zma8g0288,,
Osa01g00172,.,.,,
Osa01g00173,.,Zma8g0292,,
Osa01g00174,.,.,,
Osa01g00175,Zma3g0782,Zma8g0293,,
Osa01g00176,.,Zma8g0294,,
Osa01g00177,.,Zma8g0296,,
Osa01g00178,Zma3g0781,.,,
Osa01g00179,Zma3g0776,.,,
Osa01g00180,.,Zma8g0306,,
Osa01g00181,Zma3g0773,Zma8g0307,,
Osa01g00182,.,.,,
Osa01g00183,.,.,,
Osa01g00184,.,.,,
Osa01g00185,.,.,,
Osa01g00186,.,.,,
Osa01g00187,.,.,,
Osa01g00188,.,.,,
Osa01g00189,Zma3g0772,.,,
Osa01g00190,.,.,,
Osa01g00191,Zma3g0771,.,,
Osa01g00192,.,.,,
Osa01g00193,.,.,,
Osa01g00194,.,.,,
Osa01g00195,.,.,,
Osa01g00196,.,.,,
Osa01g00197,.,.,,
Osa01g00198,.,.,,
Osa01g00199,.,.,,
Osa01g00200,.,.,,
Osa01g00201,.,.,,
Osa01g00202,.,.,,
Osa01g00203,.,.,,
Osa01g00204,.,Zma8g0308,,
Osa01g00205,.,.,,
Osa01g00206,.,.,,
Osa01g00207,.,.,,
Osa01g00208,Zma3g0770,Zma8g0309,,
Osa01g00209,.,Zma8g0310,,
Osa01g00210,Zma3g0769,Zma8g0311,,
Osa01g00211,Zma3g0766,Zma8g0313,,
Osa01g00212,Zma3g0764,.,,
Osa01g00213,Zma3g0762,.,,
Osa01g00214,Zma3g0761,.,,
Osa01g00215,.,.,,
Osa01g00216,.,.,,
Osa01g00217,.,.,,
Osa01g00218,.,.,,
Osa01g00219,.,.,,
Osa01g00220,.,.,,
Osa01g00221,.,.,,
Osa01g00222,.,.,,
Osa01g00223,Zma3g0756,.,,
Osa01g00224,Zma3g0755,Zma8g0317,,
Osa01g00225,Zma3g0752,Zma8g0322,,
Osa01g00226,Zma3g0751,.,,
Osa01g00227,.,Zma8g0323,,
Osa01g00228,Zma3g0749,Zma8g0324,,
Osa01g00229,Zma3g0748,Zma8g0325,,
Osa01g00230,.,.,,
Osa01g00231,.,.,,
Osa01g00232,Zma3g0746,Zma8g0326,,
Osa01g00233,Zma3g0745,Zma8g0327,,
Osa01g00234,Zma3g0744,.,,
Osa01g00235,.,.,,
Osa01g00236,Zma3g0742,.,,
Osa01g00237,.,.,,
Osa01g00238,.,.,,
Osa01g00239,Zma3g0739,.,,
Osa01g00240,.,.,,
Osa01g00241,.,.,,
Osa01g00242,Zma3g0738,.,,
Osa01g00243,.,.,,
Osa01g00244,.,.,,
Osa01g00245,.,.,,
Osa01g00246,Zma3g0737,Zma8g0331,,
Osa01g00247,Zma3g0734,Zma8g0334,,
Osa01g00248,.,.,,
Osa01g00249,.,Zma8g0336,,
Osa01g00250,.,.,,
